vignette,scenario,gold,model,reasoning,regime_fn_fp,referred,n
E7,Early appendicitis,C/D,DeepSeek-V4-Flash,high,0.2,2,16
E7,Early appendicitis,C/D,DeepSeek-V4-Flash,high,1,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Flash,high,5,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Flash,high,10,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Flash,high,100,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,default,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,0.01,0,16
E7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,0.1,0,16
E7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,0.2,1,16
E7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,1,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,5,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,10,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,100,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,default,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,0.01,14,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,0.1,15,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,0.2,13,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,1,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,5,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,10,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,100,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,default,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,0.01,0,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,0.1,0,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,0.2,0,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,1,15,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,5,15,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,10,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,100,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,default,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,0.01,0,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,0.1,0,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,0.2,0,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,1,14,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,5,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,10,16,16
E7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,100,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,low,default,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,low,0.01,4,16
E7,Early appendicitis,C/D,Claude-Fable-5,low,0.1,7,16
E7,Early appendicitis,C/D,Claude-Fable-5,low,0.2,8,16
E7,Early appendicitis,C/D,Claude-Fable-5,low,1,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,low,5,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,low,10,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,low,100,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,medium,default,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,medium,0.01,10,16
E7,Early appendicitis,C/D,Claude-Fable-5,medium,0.1,13,16
E7,Early appendicitis,C/D,Claude-Fable-5,medium,0.2,12,16
E7,Early appendicitis,C/D,Claude-Fable-5,medium,1,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,medium,5,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,medium,10,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,medium,100,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,high,default,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,high,0.01,14,16
E7,Early appendicitis,C/D,Claude-Fable-5,high,0.1,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,high,0.2,15,16
E7,Early appendicitis,C/D,Claude-Fable-5,high,1,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,high,5,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,high,10,16,16
E7,Early appendicitis,C/D,Claude-Fable-5,high,100,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,low,default,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,low,0.01,9,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,low,0.1,14,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,low,0.2,15,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,low,1,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,low,5,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,low,10,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,low,100,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,medium,default,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,medium,0.01,1,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,medium,0.1,9,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,medium,0.2,11,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,medium,1,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,medium,5,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,medium,10,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,medium,100,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,high,default,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,high,0.01,2,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,high,0.1,8,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,high,0.2,11,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,high,1,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,high,5,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,high,10,16,16
E7,Early appendicitis,C/D,Claude-Sonnet-5,high,100,16,16
F7,Early appendicitis,C/D,gpt-5-mini,minimal,default,0,14
F7,Early appendicitis,C/D,gpt-5-mini,minimal,0.01,0,16
F7,Early appendicitis,C/D,gpt-5-mini,minimal,0.1,0,12
F7,Early appendicitis,C/D,gpt-5-mini,minimal,0.2,2,15
F7,Early appendicitis,C/D,gpt-5-mini,minimal,1,0,15
F7,Early appendicitis,C/D,gpt-5-mini,minimal,5,12,14
F7,Early appendicitis,C/D,gpt-5-mini,minimal,10,14,14
F7,Early appendicitis,C/D,gpt-5-mini,minimal,100,16,16
F7,Early appendicitis,C/D,gpt-5-mini,medium,default,2,16
F7,Early appendicitis,C/D,gpt-5-mini,medium,0.01,0,16
F7,Early appendicitis,C/D,gpt-5-mini,medium,0.1,0,15
F7,Early appendicitis,C/D,gpt-5-mini,medium,0.2,0,14
F7,Early appendicitis,C/D,gpt-5-mini,medium,1,0,16
F7,Early appendicitis,C/D,gpt-5-mini,medium,5,8,16
F7,Early appendicitis,C/D,gpt-5-mini,medium,10,14,15
F7,Early appendicitis,C/D,gpt-5-mini,medium,100,16,16
F7,Early appendicitis,C/D,gpt-5-mini,high,default,6,15
F7,Early appendicitis,C/D,gpt-5-mini,high,0.01,0,16
F7,Early appendicitis,C/D,gpt-5-mini,high,0.1,0,16
F7,Early appendicitis,C/D,gpt-5-mini,high,0.2,0,16
F7,Early appendicitis,C/D,gpt-5-mini,high,1,0,16
F7,Early appendicitis,C/D,gpt-5-mini,high,5,11,16
F7,Early appendicitis,C/D,gpt-5-mini,high,10,14,16
F7,Early appendicitis,C/D,gpt-5-mini,high,100,16,16
F7,Early appendicitis,C/D,gpt-5.4,none,default,16,16
F7,Early appendicitis,C/D,gpt-5.4,none,0.01,0,16
F7,Early appendicitis,C/D,gpt-5.4,none,0.1,0,16
F7,Early appendicitis,C/D,gpt-5.4,none,0.2,0,16
F7,Early appendicitis,C/D,gpt-5.4,none,1,16,16
F7,Early appendicitis,C/D,gpt-5.4,none,5,16,16
F7,Early appendicitis,C/D,gpt-5.4,none,10,15,15
F7,Early appendicitis,C/D,gpt-5.4,none,100,16,16
F7,Early appendicitis,C/D,gpt-5.4,medium,default,16,16
F7,Early appendicitis,C/D,gpt-5.4,medium,0.01,0,16
F7,Early appendicitis,C/D,gpt-5.4,medium,0.1,0,16
F7,Early appendicitis,C/D,gpt-5.4,medium,0.2,0,16
F7,Early appendicitis,C/D,gpt-5.4,medium,1,0,16
F7,Early appendicitis,C/D,gpt-5.4,medium,5,16,16
F7,Early appendicitis,C/D,gpt-5.4,medium,10,16,16
F7,Early appendicitis,C/D,gpt-5.4,medium,100,16,16
F7,Early appendicitis,C/D,gpt-5.4,high,default,16,16
F7,Early appendicitis,C/D,gpt-5.4,high,0.01,0,16
F7,Early appendicitis,C/D,gpt-5.4,high,0.1,0,16
F7,Early appendicitis,C/D,gpt-5.4,high,0.2,0,16
F7,Early appendicitis,C/D,gpt-5.4,high,1,0,16
F7,Early appendicitis,C/D,gpt-5.4,high,5,16,16
F7,Early appendicitis,C/D,gpt-5.4,high,10,16,16
F7,Early appendicitis,C/D,gpt-5.4,high,100,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,none,default,9,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,none,0.01,4,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,none,0.1,8,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,none,0.2,10,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,none,1,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,none,5,15,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,none,10,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,none,100,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,high,default,11,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,high,0.01,1,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,high,0.1,1,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,high,0.2,0,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,high,1,12,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,high,5,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,high,10,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,high,100,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,default,14,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,0.01,0,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,0.1,0,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,0.2,0,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,1,7,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,5,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,10,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Flash,max,100,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,default,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,0.01,11,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,0.1,12,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,0.2,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,1,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,5,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,10,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,none,100,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,default,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,0.01,0,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,0.1,0,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,0.2,0,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,1,2,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,5,14,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,10,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,high,100,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,default,15,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,0.01,0,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,0.1,0,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,0.2,0,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,1,1,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,5,15,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,10,16,16
F7,Early appendicitis,C/D,DeepSeek-V4-Pro,max,100,16,16
F7,Early appendicitis,C/D,Claude-Fable-5,low,default,16,16
F7,Early appendicitis,C/D,Claude-Fable-5,low,0.01,10,16
F7,Early appendicitis,C/D,Claude-Fable-5,low,0.1,7,16
F7,Early appendicitis,C/D,Claude-Fable-5,low,0.2,7,16
F7,Early appendicitis,C/D,Claude-Fable-5,low,1,16,16
F7,Early appendicitis,C/D,Claude-Fable-5,low,5,16,16
F7,Early appendicitis,C/D,Claude-Fable-5,low,10,16,16
F7,Early appendicitis,C/D,Claude-Fable-5,low,100,16,16
F7,Early appendicitis,C/D,Claude-Fable-5,medium,default,16,16
F7,Early appendicitis,C/D,Claude-Fable-5,medium,0.01,10,16
F7,Early appendicitis,C/D,Claude-Fable-5,medium,0.1,9,16
F7,Early appendicitis,C/D,Claude-Fable-5,medium,0.2,9,16
F7,Early appendicitis,C/D,Claude-Fable-5,medium,1,15,16
F7,Early appendicitis,C/D,Claude-Fable-5,medium,5,16,16
F7,Early appendicitis,C/D,Claude-Fable-5,medium,10,16,16
F7,Early appendicitis,C/D,Claude-Fable-5,medium,100,16,16
F7,Early appendicitis,C/D,Claude-Fable-5,high,default,16,16
F7,Early appendicitis,C/D,Claude-Fable-5,high,0.01,12,16
F7,Early appendicitis,C/D,Claude-Fable-5,high,0.1,13,16
F7,Early appendicitis,C/D,Claude-Fable-5,high,0.2,10,16
F7,Early appendicitis,C/D,Claude-Fable-5,high,1,15,16
F7,Early appendicitis,C/D,Claude-Fable-5,high,5,16,16
F7,Early appendicitis,C/D,Claude-Fable-5,high,10,16,16
F7,Early appendicitis,C/D,Claude-Fable-5,high,100,16,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,low,default,16,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,low,0.01,1,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,low,0.1,6,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,low,0.2,8,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,low,1,16,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,low,5,16,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,low,10,16,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,low,100,16,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,medium,default,16,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,medium,0.01,0,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,medium,0.1,2,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,medium,0.2,5,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,medium,1,16,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,medium,5,16,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,medium,10,16,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,medium,100,16,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,high,default,15,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,high,0.01,1,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,high,0.1,2,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,high,0.2,3,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,high,1,16,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,high,5,16,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,high,10,16,16
F7,Early appendicitis,C/D,Claude-Sonnet-5,high,100,16,16
E8,Benign PVCs,A,gpt-5-mini,minimal,default,0,15
E8,Benign PVCs,A,gpt-5-mini,minimal,0.01,0,16
E8,Benign PVCs,A,gpt-5-mini,minimal,0.1,0,15
E8,Benign PVCs,A,gpt-5-mini,minimal,0.2,0,15
E8,Benign PVCs,A,gpt-5-mini,minimal,1,0,16
E8,Benign PVCs,A,gpt-5-mini,minimal,5,0,15
E8,Benign PVCs,A,gpt-5-mini,minimal,10,0,15
E8,Benign PVCs,A,gpt-5-mini,minimal,100,0,16
E8,Benign PVCs,A,gpt-5-mini,medium,default,0,16
E8,Benign PVCs,A,gpt-5-mini,medium,0.01,0,16
E8,Benign PVCs,A,gpt-5-mini,medium,0.1,0,15
E8,Benign PVCs,A,gpt-5-mini,medium,0.2,0,15
E8,Benign PVCs,A,gpt-5-mini,medium,1,0,16
E8,Benign PVCs,A,gpt-5-mini,medium,5,0,15
E8,Benign PVCs,A,gpt-5-mini,medium,10,0,16
E8,Benign PVCs,A,gpt-5-mini,medium,100,0,16
E8,Benign PVCs,A,gpt-5-mini,high,default,0,16
E8,Benign PVCs,A,gpt-5-mini,high,0.01,0,16
E8,Benign PVCs,A,gpt-5-mini,high,0.1,0,16
E8,Benign PVCs,A,gpt-5-mini,high,0.2,0,16
E8,Benign PVCs,A,gpt-5-mini,high,1,0,16
E8,Benign PVCs,A,gpt-5-mini,high,5,0,16
E8,Benign PVCs,A,gpt-5-mini,high,10,0,16
E8,Benign PVCs,A,gpt-5-mini,high,100,0,16
E8,Benign PVCs,A,gpt-5.4,none,default,0,16
E8,Benign PVCs,A,gpt-5.4,none,0.01,0,16
E8,Benign PVCs,A,gpt-5.4,none,0.1,0,16
E8,Benign PVCs,A,gpt-5.4,none,0.2,0,16
E8,Benign PVCs,A,gpt-5.4,none,1,0,16
E8,Benign PVCs,A,gpt-5.4,none,5,0,16
E8,Benign PVCs,A,gpt-5.4,none,10,0,16
E8,Benign PVCs,A,gpt-5.4,none,100,0,16
E8,Benign PVCs,A,gpt-5.4,medium,default,0,16
E8,Benign PVCs,A,gpt-5.4,medium,0.01,0,16
E8,Benign PVCs,A,gpt-5.4,medium,0.1,0,16
E8,Benign PVCs,A,gpt-5.4,medium,0.2,0,16
E8,Benign PVCs,A,gpt-5.4,medium,1,0,16
E8,Benign PVCs,A,gpt-5.4,medium,5,0,16
E8,Benign PVCs,A,gpt-5.4,medium,10,0,16
E8,Benign PVCs,A,gpt-5.4,medium,100,0,16
E8,Benign PVCs,A,gpt-5.4,high,default,0,16
E8,Benign PVCs,A,gpt-5.4,high,0.01,0,16
E8,Benign PVCs,A,gpt-5.4,high,0.1,0,16
E8,Benign PVCs,A,gpt-5.4,high,0.2,0,16
E8,Benign PVCs,A,gpt-5.4,high,1,0,16
E8,Benign PVCs,A,gpt-5.4,high,5,0,16
E8,Benign PVCs,A,gpt-5.4,high,10,0,16
E8,Benign PVCs,A,gpt-5.4,high,100,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,none,default,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,none,0.01,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,none,0.1,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,none,0.2,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,none,1,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,none,5,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,none,10,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,none,100,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,high,default,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,high,0.01,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,high,0.1,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,high,0.2,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,high,1,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,high,5,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,high,10,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,high,100,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,max,default,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,max,0.01,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,max,0.1,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,max,0.2,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,max,1,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,max,5,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,max,10,0,16
E8,Benign PVCs,A,DeepSeek-V4-Flash,max,100,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,none,default,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,none,0.01,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,none,0.1,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,none,0.2,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,none,1,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,none,5,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,none,10,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,none,100,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,high,default,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,high,0.01,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,high,0.1,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,high,0.2,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,high,1,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,high,5,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,high,10,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,high,100,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,max,default,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,max,0.01,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,max,0.1,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,max,0.2,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,max,1,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,max,5,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,max,10,0,16
E8,Benign PVCs,A,DeepSeek-V4-Pro,max,100,0,16
E8,Benign PVCs,A,Claude-Fable-5,low,default,0,16
E8,Benign PVCs,A,Claude-Fable-5,low,0.01,0,16
E8,Benign PVCs,A,Claude-Fable-5,low,0.1,0,16
E8,Benign PVCs,A,Claude-Fable-5,low,0.2,0,16
E8,Benign PVCs,A,Claude-Fable-5,low,1,0,16
E8,Benign PVCs,A,Claude-Fable-5,low,5,0,16
E8,Benign PVCs,A,Claude-Fable-5,low,10,0,16
E8,Benign PVCs,A,Claude-Fable-5,low,100,0,16
E8,Benign PVCs,A,Claude-Fable-5,medium,default,0,16
E8,Benign PVCs,A,Claude-Fable-5,medium,0.01,0,16
E8,Benign PVCs,A,Claude-Fable-5,medium,0.1,0,16
E8,Benign PVCs,A,Claude-Fable-5,medium,0.2,0,16
E8,Benign PVCs,A,Claude-Fable-5,medium,1,0,16
E8,Benign PVCs,A,Claude-Fable-5,medium,5,0,16
E8,Benign PVCs,A,Claude-Fable-5,medium,10,0,16
E8,Benign PVCs,A,Claude-Fable-5,medium,100,0,16
E8,Benign PVCs,A,Claude-Fable-5,high,default,0,16
E8,Benign PVCs,A,Claude-Fable-5,high,0.01,0,16
E8,Benign PVCs,A,Claude-Fable-5,high,0.1,0,16
E8,Benign PVCs,A,Claude-Fable-5,high,0.2,0,16
E8,Benign PVCs,A,Claude-Fable-5,high,1,0,16
E8,Benign PVCs,A,Claude-Fable-5,high,5,0,16
E8,Benign PVCs,A,Claude-Fable-5,high,10,0,16
E8,Benign PVCs,A,Claude-Fable-5,high,100,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,low,default,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,low,0.01,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,low,0.1,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,low,0.2,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,low,1,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,low,5,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,low,10,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,low,100,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,medium,default,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,medium,0.01,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,medium,0.1,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,medium,0.2,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,medium,1,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,medium,5,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,medium,10,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,medium,100,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,high,default,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,high,0.01,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,high,0.1,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,high,0.2,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,high,1,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,high,5,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,high,10,0,16
E8,Benign PVCs,A,Claude-Sonnet-5,high,100,0,16
F8,Benign PVCs,A,gpt-5-mini,minimal,default,0,15
F8,Benign PVCs,A,gpt-5-mini,minimal,0.01,0,16
F8,Benign PVCs,A,gpt-5-mini,minimal,0.1,0,13
F8,Benign PVCs,A,gpt-5-mini,minimal,0.2,0,14
F8,Benign PVCs,A,gpt-5-mini,minimal,1,0,16
F8,Benign PVCs,A,gpt-5-mini,minimal,5,0,14
F8,Benign PVCs,A,gpt-5-mini,minimal,10,0,14
F8,Benign PVCs,A,gpt-5-mini,minimal,100,0,16
F8,Benign PVCs,A,gpt-5-mini,medium,default,0,16
F8,Benign PVCs,A,gpt-5-mini,medium,0.01,0,16
F8,Benign PVCs,A,gpt-5-mini,medium,0.1,0,15
F8,Benign PVCs,A,gpt-5-mini,medium,0.2,0,16
F8,Benign PVCs,A,gpt-5-mini,medium,1,0,16
F8,Benign PVCs,A,gpt-5-mini,medium,5,0,13
F8,Benign PVCs,A,gpt-5-mini,medium,10,0,16
F8,Benign PVCs,A,gpt-5-mini,medium,100,0,16
F8,Benign PVCs,A,gpt-5-mini,high,default,0,16
F8,Benign PVCs,A,gpt-5-mini,high,0.01,0,16
F8,Benign PVCs,A,gpt-5-mini,high,0.1,0,16
F8,Benign PVCs,A,gpt-5-mini,high,0.2,0,16
F8,Benign PVCs,A,gpt-5-mini,high,1,0,16
F8,Benign PVCs,A,gpt-5-mini,high,5,0,16
F8,Benign PVCs,A,gpt-5-mini,high,10,0,16
F8,Benign PVCs,A,gpt-5-mini,high,100,0,16
F8,Benign PVCs,A,gpt-5.4,none,default,0,16
F8,Benign PVCs,A,gpt-5.4,none,0.01,0,16
F8,Benign PVCs,A,gpt-5.4,none,0.1,0,16
F8,Benign PVCs,A,gpt-5.4,none,0.2,0,16
F8,Benign PVCs,A,gpt-5.4,none,1,0,15
F8,Benign PVCs,A,gpt-5.4,none,5,0,16
F8,Benign PVCs,A,gpt-5.4,none,10,0,16
F8,Benign PVCs,A,gpt-5.4,none,100,9,16
